Financiera,Mes,Valor
BANORTE,"Julio, 25",58
BBVA,"Julio, 25",6
ENSUEÑO,"Julio, 25",3
FINANMADRID,"Julio, 25",0
INBURSA,"Julio, 25",0
MSTART,"Julio, 25",10
NEXU,"Julio, 25",4
SANTANDER,"Julio, 25",22
SCOTIABANK,"Julio, 25",0
SUMAFIN,"Julio, 25",0
BAJIO,"Julio, 25",0
KUNA,"Julio, 25",0
ABC,"Agosto, 25",0
AFIRME,"Agosto, 25",0
BANORTE,"Agosto, 25",48
BBVA,"Agosto, 25",2
ENSUEÑO,"Agosto, 25",9
FINANMADRID,"Agosto, 25",0
INBURSA,"Agosto, 25",0
MSTART,"Agosto, 25",6
NEXU,"Agosto, 25",1
SANTANDER,"Agosto, 25",31
SCOTIABANK,"Agosto, 25",2
SUMAFIN,"Agosto, 25",0
BAJIO,"Agosto, 25",0
KUNA,"Agosto, 25",0
ABC,"Septiembre, 25",0
AFIRME,"Septiembre, 25",0
BANORTE,"Septiembre, 25",62
BBVA,"Septiembre, 25",6
ENSUEÑO,"Septiembre, 25",11
FINANMADRID,"Septiembre, 25",0
INBURSA,"Septiembre, 25",0
MSTART,"Septiembre, 25",14
NEXU,"Septiembre, 25",5
SANTANDER,"Septiembre, 25",27
SCOTIABANK,"Septiembre, 25",2
SUMAFIN,"Septiembre, 25",0
BAJIO,"Septiembre, 25",0
KUNA,"Septiembre, 25",0
ABC,"Octubre, 25",0
AFIRME,"Octubre, 25",0
BANORTE,"Octubre, 25",74
BBVA,"Octubre, 25",10
ENSUEÑO,"Octubre, 25",3
FINANMADRID,"Octubre, 25",0
INBURSA,"Octubre, 25",0
MSTART,"Octubre, 25",11
NEXU,"Octubre, 25",4
SANTANDER,"Octubre, 25",32
SCOTIABANK,"Octubre, 25",2
SUMAFIN,"Octubre, 25",0
BAJIO,"Octubre, 25",0
KUNA,"Octubre, 25",0
ABC,"Noviembre, 25",0
AFIRME,"Noviembre, 25",0
BANORTE,"Noviembre, 25",50
BBVA,"Noviembre, 25",16
ENSUEÑO,"Noviembre, 25",18
FINANMADRID,"Noviembre, 25",0
INBURSA,"Noviembre, 25",0
MSTART,"Noviembre, 25",15
NEXU,"Noviembre, 25",1
SANTANDER,"Noviembre, 25",16
SCOTIABANK,"Noviembre, 25",2
SUMAFIN,"Noviembre, 25",0
BAJIO,"Noviembre, 25",0
KUNA,"Noviembre, 25",0
ABC,"Diciembre, 25",0
AFIRME,"Diciembre, 25",0
BANORTE,"Diciembre, 25",69
BBVA,"Diciembre, 25",6
ENSUEÑO,"Diciembre, 25",22
FINANMADRID,"Diciembre, 25",0
INBURSA,"Diciembre, 25",0
MSTART,"Diciembre, 25",3
NEXU,"Diciembre, 25",0
SANTANDER,"Diciembre, 25",11
SCOTIABANK,"Diciembre, 25",0
SUMAFIN,"Diciembre, 25",0
BAJIO,"Diciembre, 25",0
KUNA,"Diciembre, 25",0
ABC,"Enero, 26",0
AFIRME,"Enero, 26",0
BANORTE,"Enero, 26",53
BBVA,"Enero, 26",7
ENSUEÑO,"Enero, 26",9
FINANMADRID,"Enero, 26",0
INBURSA,"Enero, 26",0
MSTART,"Enero, 26",12
NEXU,"Enero, 26",1
SANTANDER,"Enero, 26",26
SCOTIABANK,"Enero, 26",3
SUMAFIN,"Enero, 26",2
BAJIO,"Enero, 26",0
KUNA,"Enero, 26",0
ABC,"Febrero, 26",0
AFIRME,"Febrero, 26",0
BANORTE,"Febrero, 26",33
BBVA,"Febrero, 26",10
ENSUEÑO,"Febrero, 26",4
FINANMADRID,"Febrero, 26",0
INBURSA,"Febrero, 26",0
MSTART,"Febrero, 26",12
NEXU,"Febrero, 26",0
SANTANDER,"Febrero, 26",18
SCOTIABANK,"Febrero, 26",2
SUMAFIN,"Febrero, 26",4
BAJIO,"Febrero, 26",0
KUNA,"Febrero, 26",0
ABC,"Marzo, 26",0
AFIRME,"Marzo, 26",0
BANORTE,"Marzo, 26",33
BBVA,"Marzo, 26",12
ENSUEÑO,"Marzo, 26",3
FINANMADRID,"Marzo, 26",0
INBURSA,"Marzo, 26",0
